2024-10-23 09:35:44.118 [main] INFO  io.tiklab.dsm.executer.SQLFileExecuter - execute sql command:COMMENT ON COLUMN pcs_prc_function.sort IS '排序' 
2024-10-23 09:35:44.120 [main] INFO  io.tiklab.dsm.executer.SQLFileExecuter - execute sql command:COMMENT ON COLUMN pcs_prc_function.type IS '功能类型，1: system 2: project' 
2024-10-23 09:35:44.123 [main] INFO  io.tiklab.dsm.executer.SQLFileExecuter - execute sql command:CREATE TABLE pcs_prc_role ( id VARCHAR(32) PRIMARY KEY, name VARCHAR(32) NOT NULL , description VARCHAR(128) , grouper VARCHAR(32) NOT NULL , type VARCHAR(8) NOT NULL ) 
2024-10-23 09:35:44.147 [main] INFO  io.tiklab.dsm.executer.SQLFileExecuter - execute sql command:COMMENT ON COLUMN pcs_prc_role.id IS '角色 ID' 
2024-10-23 09:35:44.149 [main] INFO  io.tiklab.dsm.executer.SQLFileExecuter - execute sql command:COMMENT ON COLUMN pcs_prc_role.name IS '角色名称' 
2024-10-23 09:35:44.151 [main] INFO  io.tiklab.dsm.executer.SQLFileExecuter - execute sql command:COMMENT ON COLUMN pcs_prc_role.description IS '角色描述' 
2024-10-23 09:35:44.154 [main] INFO  io.tiklab.dsm.executer.SQLFileExecuter - execute sql command:COMMENT ON COLUMN pcs_prc_role.grouper IS '角色分组，系统级: system; 项目初始化: project;' 
2024-10-23 09:35:44.155 [main] INFO  io.tiklab.dsm.executer.SQLFileExecuter - execute sql command:COMMENT ON COLUMN pcs_prc_role.type IS '角色类型，1: system 2: project' 
2024-10-23 09:35:44.158 [main] INFO  io.tiklab.dsm.executer.SQLFileExecuter - execute sql command:CREATE TABLE pcs_prc_role_function( id VARCHAR(32) PRIMARY KEY, role_id VARCHAR(32) NOT NULL, function_id VARCHAR(32) NOT NULL ) 
2024-10-23 09:35:44.196 [main] INFO  io.tiklab.dsm.executer.SQLFileExecuter - execute sql command:CREATE TABLE pcs_prc_role_user_group( id VARCHAR(32) PRIMARY KEY, role_id VARCHAR(32) NOT NULL, group_id VARCHAR(32) NOT NULL ) 
2024-10-23 09:35:44.222 [main] INFO  io.tiklab.dsm.executer.SQLFileExecuter - execute sql command:CREATE TABLE pcs_prc_role_user( id VARCHAR(32) PRIMARY KEY, role_id VARCHAR(32) NOT NULL , user_id VARCHAR(32) NOT NULL ) 
2024-10-23 09:35:44.248 [main] INFO  io.tiklab.dsm.executer.SQLFileExecuter - execute sql command:CREATE TABLE pcs_prc_role_vuser( id VARCHAR(32) PRIMARY KEY, role_id VARCHAR(32) NOT NULL , vuser_id VARCHAR(32) NOT NULL ) 
2024-10-23 09:35:44.273 [main] INFO  io.tiklab.dsm.executer.SQLFileExecuter - execute sql command:CREATE TABLE pcs_ucc_dm_user ( id VARCHAR(32) PRIMARY KEY, domain_id VARCHAR(32) NOT NULL , user_id VARCHAR(32) NOT NULL , type INTEGER NOT NULL DEFAULT 0 , status INTEGER NOT NULL DEFAULT 1 ) 
2024-10-23 09:35:44.298 [main] INFO  io.tiklab.dsm.executer.SQLFileExecuter - execute sql command:COMMENT ON COLUMN pcs_ucc_dm_user.id IS '用户 ID' 
2024-10-23 09:35:44.300 [main] INFO  io.tiklab.dsm.executer.SQLFileExecuter - execute sql command:COMMENT ON COLUMN pcs_ucc_dm_user.domain_id IS '项目域 ID' 
2024-10-23 09:35:44.303 [main] INFO  io.tiklab.dsm.executer.SQLFileExecuter - execute sql command:COMMENT ON COLUMN pcs_ucc_dm_user.user_id IS '用户 ID' 
2024-10-23 09:35:44.305 [main] INFO  io.tiklab.dsm.executer.SQLFileExecuter - execute sql command:COMMENT ON COLUMN pcs_ucc_dm_user.type IS '标识业务类型，0:普通用户 1：超级管理员用户' 
2024-10-23 09:35:44.307 [main] INFO  io.tiklab.dsm.executer.SQLFileExecuter - execute sql command:COMMENT ON COLUMN pcs_ucc_dm_user.status IS '0:软删除，1：活跃中' 
2024-10-23 09:35:44.309 [main] INFO  io.tiklab.dsm.executer.SQLFileExecuter - execute sql command:CREATE TABLE pcs_ucc_dm_vuser ( id VARCHAR(32) PRIMARY KEY , domain_id VARCHAR(32) NOT NULL , vuser_id VARCHAR(32) NOT NULL , type INTEGER NOT NULL DEFAULT 0 ) 
2024-10-23 09:35:44.341 [main] INFO  io.tiklab.dsm.executer.SQLFileExecuter - execute sql command:COMMENT ON COLUMN pcs_ucc_dm_vuser.id IS '虚拟用户 ID' 
2024-10-23 09:35:44.344 [main] INFO  io.tiklab.dsm.executer.SQLFileExecuter - execute sql command:COMMENT ON COLUMN pcs_ucc_dm_vuser.domain_id IS '项目域 ID' 
2024-10-23 09:35:44.346 [main] INFO  io.tiklab.dsm.executer.SQLFileExecuter - execute sql command:COMMENT ON COLUMN pcs_ucc_dm_vuser.vuser_id IS '虚拟用户 ID' 
2024-10-23 09:35:44.349 [main] INFO  io.tiklab.dsm.executer.SQLFileExecuter - execute sql command:COMMENT ON COLUMN pcs_ucc_dm_vuser.type IS '标识业务类型，0:普通用户 1：超级管理员用户' 
2024-10-23 09:35:44.352 [main] INFO  io.tiklab.dsm.executer.SQLFileExecuter - execute sql command:CREATE TABLE pcs_prc_dm_role ( id VARCHAR(32) PRIMARY KEY, domain_id VARCHAR(32) NOT NULL, role_id VARCHAR(32) NOT NULL, business_type INTEGER DEFAULT 0 ) 
2024-10-23 09:35:44.381 [main] INFO  io.tiklab.dsm.executer.SQLFileExecuter - execute sql command:COMMENT ON COLUMN pcs_prc_dm_role.id IS '角色 ID' 
2024-10-23 09:35:44.384 [main] INFO  io.tiklab.dsm.executer.SQLFileExecuter - execute sql command:COMMENT ON COLUMN pcs_prc_dm_role.domain_id IS '域 ID' 
2024-10-23 09:35:44.386 [main] INFO  io.tiklab.dsm.executer.SQLFileExecuter - execute sql command:COMMENT ON COLUMN pcs_prc_dm_role.role_id IS '角色 ID' 
2024-10-23 09:35:44.388 [main] INFO  io.tiklab.dsm.executer.SQLFileExecuter - execute sql command:COMMENT ON COLUMN pcs_prc_dm_role.business_type IS '标识业务类型，0:普通角色 1：超级管理员角色' 
2024-10-23 09:35:44.392 [main] INFO  io.tiklab.dsm.executer.SQLFileExecuter - execute sql command:CREATE TABLE pcs_prc_dm_role_user ( id VARCHAR(32) PRIMARY KEY , dmRole_id VARCHAR(32) NOT NULL , domain_id VARCHAR(32) NOT NULL , user_id VARCHAR(32) NOT NULL ) 
2024-10-23 09:35:44.431 [main] INFO  io.tiklab.dsm.executer.SQLFileExecuter - execute sql command:COMMENT ON COLUMN pcs_prc_dm_role_user.id IS '项目角色用户关联 ID' 
